sectperf,prof_pos,sex,unit,geo\time	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 	1989 	1988 	1987 	1986 	1985 	1984 	1983 	1982 	1981 	1980 
BES,OTH,F,HC,LT	: 	: 	: 	: 	260 	170 	206 	135 	408 	138 	175 	191 	96 	53 	95 	80 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
BES,OTH,F,HC,LU	: 	: 	111 	: 	181 	: 	400 	: 	617 e	: 	243 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
BES,OTH,F,HC,LV	: 	: 	: 	: 	217 	178 	141 	257 	262 	219 	220 	171 	178 	668 	240 	121 	82 	78 	85 	102 	190 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
BES,OTH,F,HC,ME	: 	24 	31 	: 	20 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
BES,OTH,F,HC,MK	: 	: 	: 	3 	3 	1 	1 	: 	: 	: 	2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
BES,OTH,F,HC,MT	: 	66 	45 	47 	47 	38 	20 	19 	16 	31 	26 	19 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
BES,OTH,F,HC,NL	: 	: 	: 	: 	5754 b	: 	2199 	: 	2482 	: 	2241 	: 	2083 	: 	2623 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
BES,OTH,F,HC,PL	: 	1757 	1478 	1491 	1217 	985 	681 	1014 	1212 	1077 	1166 	1208 	1122 	: 	: 	2369 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
BES,OTH,F,HC,PT	: 	725 	662 b	1033 	1076 	696 	807 	593 	770 	569 e	367 	399 e	430 	323 e	216 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
BES,OTH,F,HC,RO	: 	1435 	1558 	1709 	1872 b	557 	1230 	1341 	1236 	1733 	1482 	1828 	1840 	1923 	2109 	2127 	4671 	4383 	5186 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
BES,OTH,F,HC,RS	: 	366 	182 	116 	83 	203 	454 	333 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
BES,OTH,F,HC,SE	: 	: 	: 	: 	3226 	: 	3787 	: 	4103 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
BES,OTH,F,HC,SI	: 	514 	448 	491 	511 b	338 	307 	310 b	230 	242 	220 	222 	215 	288 	320 	311 	301 	603 	540 	525 	574 	568 	480 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
BES,OTH,F,HC,SK	: 	210 	173 	177 	182 	208 	192 	201 	218 	250 	314 	358 	403 	488 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
BES,OTH,F,HC,TR	: 	2039 	1668 	1432 	1211 	996 	909 	833 	708 	496 	500 	493 	395 	301 	273 	523 	518 	597 	579 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
BES,OTH,F,HC,UK	: 	16020 	15214 	12209 	12467 	11825 	10639 e	11113 e	12892 e	10927 e	10362 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
