sex,prof_pos,sectperf,unit,geo\time	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 	1989 	1988 	1987 	1986 	1985 	1984 	1983 	1982 	1981 
F,RSE,BES,PC_ACT_HC,NO	: 	0.3836 d	0.345 d	0.3374 d	0.3294 d	0.3188 d	0.3231 d	0.3136 d	0.2863 d	: 	0.2473 d	0.2538 d	0.2452 d	: 	0.2807 d	: 	0.2308 d	: 	0.216 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,RSE,BES,PC_ACT_HC,PL	: 	0.0715 	0.0651 	0.0483 	0.0371 	0.0353 	0.0346 	0.0424 	0.039 	0.0375 	0.0394 	0.0335 	0.0279 	: 	: 	0.0427 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,RSE,BES,PC_ACT_HC,PT	: 	0.2823 	0.2936 b	0.2855 	0.2593 	0.2299 	0.2214 	0.2182 	0.1759 	0.1222 e	0.0675 	0.0722 e	0.0763 	0.0662 e	0.0559 	0.0466 e	0.0371 	0.0309 	0.0251 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,RSE,BES,PC_ACT_HC,RO	: 	0.0614 	0.0595 	0.0536 	0.0418 b	0.0599 	0.0575 	0.0619 	0.0756 	0.0764 	0.1081 	0.0907 	0.1011 	0.1101 	0.1023 	0.1164 	0.1456 	0.177 	0.1667 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,RSE,BES,PC_ACT_HC,RU	: 	: 	: 	0.1985 e	0.2095 e	0.2097 e	0.2166 e	0.2253 e	0.2352 e	0.2415 e	0.2517 e	0.2785 e	0.2985 e	0.3049 e	0.3279 e	0.3327 	0.3285 	0.3629 	0.4142 	0.4555 	0.5002 	0.5147 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,RSE,BES,PC_ACT_HC,SE	: 	: 	0.4774 b	: 	0.3599 	: 	0.3702 	: 	0.3642 b	: 	0.4857 bd	: 	0.3572 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,RSE,BES,PC_ACT_HC,SI	: 	0.3246 	0.3251 	0.3089 	0.3148 b	0.1979 	0.1869 	0.179 b	0.1633 	0.1475 	0.1248 	0.106 	0.0956 	0.1228 	0.1174 	0.1085 	0.1182 	0.106 	0.1025 	0.0938 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,RSE,BES,PC_ACT_HC,SK	: 	0.0518 	0.0525 	0.0576 	0.0481 	0.0417 	0.0377 	0.0429 	0.0464 	0.0642 	0.066 	0.0584 	0.0581 	0.0642 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,RSE,BES,PC_ACT_HC,TR	: 	0.134 	0.1305 	0.1161 	0.1066 	0.0991 	0.0883 	0.0798 	0.0712 	0.0587 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,RSE,BES,PC_ACT_HC,UK	: 	0.1835 	0.1746 	0.1518 	0.1442 	0.1258 	0.1163 e	0.1193 e	0.1256 e	0.1323 e	0.1344 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,RSE,BES,PC_EMP_FTE,AT	: 	: 	0.2137 	: 	0.1902 	: 	0.178 	: 	0.1518 	0.1312 	: 	0.1149 	: 	0.0937 	: 	: 	: 	0.061 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,RSE,BES,PC_EMP_FTE,BE	: 	: 	: 	: 	0.2288 	0.2157 	0.1893 	0.1892 	0.1978 	0.1984 	0.1858 	0.1797 	0.1749 	0.1757 	0.178 	0.1649 	0.1578 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,RSE,BES,PC_EMP_FTE,BG	: 	0.103 	0.087 	0.0665 	0.052 	0.0488 	0.0516 	0.042 	0.0353 	0.0347 	0.0422 	0.0444 	0.0463 	0.039 	0.0435 	0.0439 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,RSE,BES,PC_EMP_FTE,CY	: 	0.0357 	0.0352 	0.0319 	0.0301 	0.0328 	0.0363 	0.0365 	0.0277 	0.0266 	0.0242 	0.0201 	0.0191 	0.0243 	0.0194 	0.017 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,RSE,BES,PC_EMP_FTE,CZ	: 	0.1258 	0.1168 	0.1088 	0.0991 	0.0886 	0.0912 	0.0911 	0.0828 	0.0747 	0.0775 b	0.0524 	0.0518 	0.0489 	0.0461 	0.0446 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,RSE,BES,PC_EMP_FTE,DE	: 	: 	0.1503 	: 	0.1496 	: 	0.1319 	: 	0.1156 e	: 	0.1173 	: 	0.1132 	: 	0.1169 	: 	0.0926 	: 	0.1473 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,RSE,BES,PC_EMP_FTE,DK	: 	: 	0.5157 	0.4817 	0.4742 	0.4596 e	0.4409 	: 	0.3571 b	: 	0.3423 	: 	0.2828 	0.2768 b	0.1842 d	: 	0.1542 	0.1464 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,RSE,BES,PC_EMP_FTE,EE	: 	0.1287 	0.1394 	0.143 	0.1509 	0.1297 	0.124 	0.0883 	0.0942 	0.0725 	0.0766 	0.0547 	0.042 	0.0393 	0.0414 	0.0319 	0.0484 	0.0317 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,RSE,BES,PC_EMP_FTE,EL	: 	: 	0.0809 	: 	0.081 b	: 	: 	: 	0.0824 	: 	0.0682 	: 	0.0647 	: 	0.0526 	: 	0.0362 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,RSE,BES,PC_EMP_FTE,ES	: 	0.176 	0.1793 	0.1707 	0.1651 	0.165 	0.1657 	0.158 	0.1448 	0.1392 	0.1243 	0.1232 	0.1096 	0.1011 b	0.0606 	: 	0.0575 	: 	0.0455 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,RSE,BES,PC_EMP_FTE,FR	: 	: 	0.2687 	0.2578 	0.2447 	0.2341 	0.2223 	0.2136 	0.2172 	0.1901 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
